reviewer;paper
Adel Ben Mnaouer;From Hybrid Modal Logic to Matching Logic and back.
Stavros Vougioukas;From Hybrid Modal Logic to Matching Logic and back.
Hao Fu 0001;From Hybrid Modal Logic to Matching Logic and back.
Martin Gröschl;On h-Lexicalized Restarting Automata.
Alberto Pettorossi;On h-Lexicalized Restarting Automata.
Ahmad Akbari;On h-Lexicalized Restarting Automata.
Jian S. Dai 0001;CryptoSolve: Towards a Tool for the Symbolic Analysis of Cryptographic Algorithms.
Ashwin R. Vasavada;CryptoSolve: Towards a Tool for the Symbolic Analysis of Cryptographic Algorithms.
Yvan R. Petillot;CryptoSolve: Towards a Tool for the Symbolic Analysis of Cryptographic Algorithms.
Lutz Hofmann;Formal Modelling of Ontologies : An Event-B based Approach Using the Rodin Platform.
J. Ramiro Martinez de Dios;Formal Modelling of Ontologies : An Event-B based Approach Using the Rodin Platform.
Ho Seok Ahn;Formal Modelling of Ontologies : An Event-B based Approach Using the Rodin Platform.
Swen Jacobs;Keep it Fair: Equivalences.
Isaac Miller;Keep it Fair: Equivalences.
Philippe Bonnifait;Keep it Fair: Equivalences.
Thomas Richardson 0002;A Bestiary of Sets and Relations.
Shigang Yue;A Bestiary of Sets and Relations.
Robert A. Sohn;A Bestiary of Sets and Relations.
Wenliang Gao;A criterion for separating process calculi
Stefano Pastorelli;A criterion for separating process calculi
Lutz Hofmann;A criterion for separating process calculi
Helmut Schreiber;On the Solvability of Inductive Problems: A Study in Epistemic Topology.
Emiliano Mancini;On the Solvability of Inductive Problems: A Study in Epistemic Topology.
Georg Brasseur;On the Solvability of Inductive Problems: A Study in Epistemic Topology.
Daobilige Su;Presumptive Reasoning in a Paraconsistent Setting.
Jean Philippe Ovarlez;Presumptive Reasoning in a Paraconsistent Setting.
Alejandro Salado;Presumptive Reasoning in a Paraconsistent Setting.
Yulei Liao;Simplifying Contract-Violating Traces
Michael Milford;Simplifying Contract-Violating Traces
Jie Tao 0001;Simplifying Contract-Violating Traces
Thomas Richardson 0002;Preliminary Results Towards Contract Monitorability.
Lydia E. Kavraki;Preliminary Results Towards Contract Monitorability.
Matthew Powers;Preliminary Results Towards Contract Monitorability.
Motilal Agrawal;Signed Networks, Triadic Interactions and the Evolution of Cooperation.
Martin Fürnschuß;Signed Networks, Triadic Interactions and the Evolution of Cooperation.
Muhammed Yildirim;Signed Networks, Triadic Interactions and the Evolution of Cooperation.
Victor Erokhin;Non-Blocking Concurrent Imperative Programming with Session Types.
Kostas Alexis;Non-Blocking Concurrent Imperative Programming with Session Types.
Andreas Pichler;Non-Blocking Concurrent Imperative Programming with Session Types.
Oliver Kolb;Controller Synthesis for Timeline-based Games.
Konrad Diwold;Controller Synthesis for Timeline-based Games.
Zhenghao Fei;Controller Synthesis for Timeline-based Games.
Yibin Li 0001;Quantitative Fairness Games
Kay Hameyer;Quantitative Fairness Games
Dimos Tzoumanikas;Quantitative Fairness Games
Awf Abdulrahman;Lightening Global Types.
Jean-François Raskin;Lightening Global Types.
Cyrill Stachniss;Lightening Global Types.
George Kantor;A Stochastic Broadcast Pi-Calculus
Mohammad Reza Mousavi 0001;A Stochastic Broadcast Pi-Calculus
Eric Meyhofer;A Stochastic Broadcast Pi-Calculus
Kumkum Dubey;Analyzing Robustness of Angluin's L* Algorithm in Presence of Noise.
Justin Thomas;Analyzing Robustness of Angluin's L* Algorithm in Presence of Noise.
Uwe Naumann;Analyzing Robustness of Angluin's L* Algorithm in Presence of Noise.
Farzam Ranjbaran;On interleaving in {P,A}-Time Petri nets with strong semantics
Pierre-Henri Maire;On interleaving in {P,A}-Time Petri nets with strong semantics
Angelo Montanari;On interleaving in {P,A}-Time Petri nets with strong semantics
Nur Izura Udzir;Refactoring Delta-Oriented Product Lines to achieve Monotonicity.
Hiroshi Daisaka;Refactoring Delta-Oriented Product Lines to achieve Monotonicity.
Kumkum Dubey;Refactoring Delta-Oriented Product Lines to achieve Monotonicity.
Michael Perschbacher;An Automata Theoretic Approach to the Zero-One Law for Regular Languages: Algorithmic and Logical Aspects.
Lahcene Ziet;An Automata Theoretic Approach to the Zero-One Law for Regular Languages: Algorithmic and Logical Aspects.
Massimo Bartoletti;An Automata Theoretic Approach to the Zero-One Law for Regular Languages: Algorithmic and Logical Aspects.
Karim Djouani;Approximating Optimal Bounds in Prompt-LTL Realizability in Doubly-exponential Time
Bernd Löhlein;Approximating Optimal Bounds in Prompt-LTL Realizability in Doubly-exponential Time
Kirk MacTavish;Approximating Optimal Bounds in Prompt-LTL Realizability in Doubly-exponential Time
José Barata;Hourglass Automata.
James G. Bellingham;Hourglass Automata.
Ferruccio Damiani;Hourglass Automata.
Jean-François Raskin;The Quotient in Preorder Theories.
Lorenz Wellhausen;The Quotient in Preorder Theories.
Alessandro Farinelli;The Quotient in Preorder Theories.
Naveen Kuppuswamy;Incremental Database Design using UML-B and Event-B.
Hong Linh Truong 0001;Incremental Database Design using UML-B and Event-B.
Yulei Liao;Incremental Database Design using UML-B and Event-B.
Konstantin Löffler;An Abstraction Theory for Qualitative Models of Biological Systems
Joakim Sundnes;An Abstraction Theory for Qualitative Models of Biological Systems
Adina-Elena Glava;An Abstraction Theory for Qualitative Models of Biological Systems
Frédéric Pascal 0001;Polychronous Interpretation of Synoptic, a Domain Specific Modeling Language for Embedded Flight-Software
Ernst Schmautzer;Polychronous Interpretation of Synoptic, a Domain Specific Modeling Language for Embedded Flight-Software
Clemens Gnauer;Polychronous Interpretation of Synoptic, a Domain Specific Modeling Language for Embedded Flight-Software
Nathan O. Collier;Architecture-Aware Synthesis of Phase Polynomials for NISQ Devices.
Lorenzo Baccelliere;Architecture-Aware Synthesis of Phase Polynomials for NISQ Devices.
Henrik I. Christensen;Architecture-Aware Synthesis of Phase Polynomials for NISQ Devices.
Adina-Elena Glava;Sparse Positional Strategies for Safety Games
Abdelfettah Belghith;Sparse Positional Strategies for Safety Games
Oussama Khatib;Sparse Positional Strategies for Safety Games
Junichiro Makino;Extensible Technology-Agnostic Runtime Verification
Jean-Christophe Zufferey;Extensible Technology-Agnostic Runtime Verification
Faten Chaieb;Extensible Technology-Agnostic Runtime Verification
Soon-Jo Chung;Free Applicative Functors.
Tomasz Bartynski;Free Applicative Functors.
Olivier Toupet;Free Applicative Functors.
David M. Fratantoni;Mutation of Directed Graphs -- Corresponding Regular Expressions and Complexity of Their Generation
Mirko Kovac;Mutation of Directed Graphs -- Corresponding Regular Expressions and Complexity of Their Generation
Ze Jiang;Mutation of Directed Graphs -- Corresponding Regular Expressions and Complexity of Their Generation
Arash Shaban-Nejad;Integrating User Design and Formal Models within PVSio-Web.
Kazunori Ohno;Integrating User Design and Formal Models within PVSio-Web.
Christian Lenz;Integrating User Design and Formal Models within PVSio-Web.
Reinhard Haas;Measurable Stochastics for Brane Calculus
Margit Noll;Measurable Stochastics for Brane Calculus
Yundou Xu;Measurable Stochastics for Brane Calculus
Pietro Liò;Plotting in a Formally Verified Way.
Songyi Dian;Plotting in a Formally Verified Way.
Ross Duncan;Plotting in a Formally Verified Way.
Hamid Reza Karimi;Towards correct-by-construction product variants of a software product line: GFML, a formal language for feature modules.
Kim G. Larsen;Towards correct-by-construction product variants of a software product line: GFML, a formal language for feature modules.
Ross Hennessy;Towards correct-by-construction product variants of a software product line: GFML, a formal language for feature modules.
Sebastian Zwickl-Bernhard;Wiring diagrams as normal forms for computing in symmetric monoidal categories.
Denis Silva da Silveira;Wiring diagrams as normal forms for computing in symmetric monoidal categories.
Thorsten Burandt;Wiring diagrams as normal forms for computing in symmetric monoidal categories.
David A. Sanders;Causal Kripke Models.
Franz Kohl;Causal Kripke Models.
Soon-Jo Chung;Causal Kripke Models.
Mohammad Reza Mousavi 0001;The Almost Equivalence by Asymptotic Probabilities for Regular Languages and Its Computational Complexities.
Peter Jonke;The Almost Equivalence by Asymptotic Probabilities for Regular Languages and Its Computational Complexities.
Xin-She Yang 0001;The Almost Equivalence by Asymptotic Probabilities for Regular Languages and Its Computational Complexities.
Daniel Watzenig;On Verifying Resource Contracts using Code Contracts.
Marcio S. de Queiroz;On Verifying Resource Contracts using Code Contracts.
Lorenz Wellhausen;On Verifying Resource Contracts using Code Contracts.
Youngwoo Lee;Verifying the correct composition of distributed components: Formalisation and Tool.
Kevin Kochersberger;Verifying the correct composition of distributed components: Formalisation and Tool.
Leila Ghabeli;Verifying the correct composition of distributed components: Formalisation and Tool.
Philipp Krüsi;Exploring Usable Security to Improve the Impact of Formal Verification: A Research Agenda.
Richard Tran Mills;Exploring Usable Security to Improve the Impact of Formal Verification: A Research Agenda.
Markus Reichhartinger;Exploring Usable Security to Improve the Impact of Formal Verification: A Research Agenda.
Martin Horauer;Bounded Languages Meet Cellular Automata with Sparse Communication
Korbinian Schmid;Bounded Languages Meet Cellular Automata with Sparse Communication
Philipp Rechberger;Bounded Languages Meet Cellular Automata with Sparse Communication
Inkyu Sa;Reducing Weak to Strong Bisimilarity in CCP
Hartmut Surmann;Reducing Weak to Strong Bisimilarity in CCP
Carl Wellington;Reducing Weak to Strong Bisimilarity in CCP
Uwe Schichler;Generating Semantic Graph Corpora with Graph Expansion Grammar.
Artur Jachimowicz;Generating Semantic Graph Corpora with Graph Expansion Grammar.
Erich Leitgeb;Generating Semantic Graph Corpora with Graph Expansion Grammar.
Forrest M. Hoffman;Probabilistic Automata over Infinite Words: Expressiveness, Efficiency, and Decidability
Korbinian Schmid;Probabilistic Automata over Infinite Words: Expressiveness, Efficiency, and Decidability
Shuodong Sun;Probabilistic Automata over Infinite Words: Expressiveness, Efficiency, and Decidability
Bradley Paden;Pattern Graph Rewrite Systems
Manfred Wurm;Pattern Graph Rewrite Systems
Roland Siegwart;Pattern Graph Rewrite Systems
Chang Liu;Small Universal Accepting Networks of Evolutionary Processors with Filtered Connections
Hiroaki Inotsume;Small Universal Accepting Networks of Evolutionary Processors with Filtered Connections
Hartmut Surmann;Small Universal Accepting Networks of Evolutionary Processors with Filtered Connections
Nadire Cavus;Resumptions, Weak Bisimilarity and Big-Step Semantics for While with Interactive I/O: An Exercise in Mixed Induction-Coinduction
Zaheer Ahmed Dayo;Resumptions, Weak Bisimilarity and Big-Step Semantics for While with Interactive I/O: An Exercise in Mixed Induction-Coinduction
Dimitri Mavris;Resumptions, Weak Bisimilarity and Big-Step Semantics for While with Interactive I/O: An Exercise in Mixed Induction-Coinduction
Alberto Dionigi;Hybrid performance modelling of opportunistic networks
Scott Moreland;Hybrid performance modelling of opportunistic networks
Alessandro Ridolfi;Hybrid performance modelling of opportunistic networks
Stephan Mennicke;Synthesizing Modular Invariants for Synchronous Code.
Aïssa Belmeguenaï;Synthesizing Modular Invariants for Synchronous Code.
Jan Ole Stockbrügger;Synthesizing Modular Invariants for Synchronous Code.
Valerie Maxville;Reversible Communicating Processes.
Laxmi Kant Dhruw;Reversible Communicating Processes.
Henry Williams;Reversible Communicating Processes.
Stephen D. McPhail;Parameterized Metatheory for Continuous Markovian Logic
Zhonghan Lin;Parameterized Metatheory for Continuous Markovian Logic
Ziaur Rahman 0002;Parameterized Metatheory for Continuous Markovian Logic
Oussama Khatib;Robust Exponential Worst Cases for Divide-et-Impera Algorithms for Parity Games.
Pao-Yu Oei;Robust Exponential Worst Cases for Divide-et-Impera Algorithms for Parity Games.
Salah Sukkarieh;Robust Exponential Worst Cases for Divide-et-Impera Algorithms for Parity Games.
Serge Autexier;Complexity of Nonassociative Lambek Calculus with classical logic.
Robert J. Meijer;Complexity of Nonassociative Lambek Calculus with classical logic.
